G:\课题组学习\Flower\venv\Scripts\python.exe G:\课题组学习\Flower\pytorch-fedrated-mnist\client.py --node-id 1
INFO flwr 2024-01-02 21:39:47,555 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-01-02 21:39:47,557 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-01-02 21:39:47,561 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-01-02 21:39:47,561 | connection.py:42 | ChannelConnectivity.READY
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.103
[1,   200] loss: 0.083
[1,   300] loss: 0.068
[1,   400] loss: 0.056
[1,   500] loss: 0.046
[1,   600] loss: 0.040
[1,   700] loss: 0.034
[1,   800] loss: 0.032
[1,   900] loss: 0.027
[1,  1000] loss: 0.026
[1,  1100] loss: 0.023
[1,  1200] loss: 0.021
[1,  1300] loss: 0.020
[1,  1400] loss: 0.019
[1,  1500] loss: 0.019
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.020
[1,   200] loss: 0.018
[1,   300] loss: 0.017
[1,   400] loss: 0.017
[1,   500] loss: 0.016
[1,   600] loss: 0.016
[1,   700] loss: 0.016
[1,   800] loss: 0.014
[1,   900] loss: 0.016
[1,  1000] loss: 0.015
[1,  1100] loss: 0.013
[1,  1200] loss: 0.014
[1,  1300] loss: 0.013
[1,  1400] loss: 0.014
[1,  1500] loss: 0.013
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.012
[1,   200] loss: 0.012
[1,   300] loss: 0.013
[1,   400] loss: 0.012
[1,   500] loss: 0.010
[1,   600] loss: 0.012
[1,   700] loss: 0.012
[1,   800] loss: 0.012
[1,   900] loss: 0.012
[1,  1000] loss: 0.011
[1,  1100] loss: 0.011
[1,  1200] loss: 0.010
[1,  1300] loss: 0.010
[1,  1400] loss: 0.010
[1,  1500] loss: 0.009
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.011
[1,   200] loss: 0.010
[1,   300] loss: 0.010
[1,   400] loss: 0.010
[1,   500] loss: 0.010
[1,   600] loss: 0.010
[1,   700] loss: 0.009
[1,   800] loss: 0.010
[1,   900] loss: 0.010
[1,  1000] loss: 0.009
[1,  1100] loss: 0.009
[1,  1200] loss: 0.009
[1,  1300] loss: 0.009
[1,  1400] loss: 0.009
[1,  1500] loss: 0.010
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.010
[1,   200] loss: 0.008
[1,   300] loss: 0.009
[1,   400] loss: 0.009
[1,   500] loss: 0.009
[1,   600] loss: 0.008
[1,   700] loss: 0.009
[1,   800] loss: 0.008
[1,   900] loss: 0.008
[1,  1000] loss: 0.008
[1,  1100] loss: 0.008
[1,  1200] loss: 0.008
[1,  1300] loss: 0.009
[1,  1400] loss: 0.008
[1,  1500] loss: 0.008
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.007
[1,   200] loss: 0.008
[1,   300] loss: 0.008
[1,   400] loss: 0.007
[1,   500] loss: 0.007
[1,   600] loss: 0.008
[1,   700] loss: 0.009
[1,   800] loss: 0.007
[1,   900] loss: 0.007
[1,  1000] loss: 0.008
[1,  1100] loss: 0.009
[1,  1200] loss: 0.008
[1,  1300] loss: 0.008
[1,  1400] loss: 0.007
[1,  1500] loss: 0.008
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.007
[1,   200] loss: 0.007
[1,   300] loss: 0.008
[1,   400] loss: 0.006
[1,   500] loss: 0.008
[1,   600] loss: 0.007
[1,   700] loss: 0.008
[1,   800] loss: 0.007
[1,   900] loss: 0.007
[1,  1000] loss: 0.007
[1,  1100] loss: 0.007
[1,  1200] loss: 0.007
[1,  1300] loss: 0.008
[1,  1400] loss: 0.008
[1,  1500] loss: 0.007
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.006
[1,   200] loss: 0.007
[1,   300] loss: 0.008
[1,   400] loss: 0.005
[1,   500] loss: 0.007
[1,   600] loss: 0.007
[1,   700] loss: 0.007
[1,   800] loss: 0.007
[1,   900] loss: 0.007
[1,  1000] loss: 0.007
[1,  1100] loss: 0.006
[1,  1200] loss: 0.007
[1,  1300] loss: 0.007
[1,  1400] loss: 0.007
[1,  1500] loss: 0.007
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.006
[1,   200] loss: 0.006
[1,   300] loss: 0.007
[1,   400] loss: 0.006
[1,   500] loss: 0.006
[1,   600] loss: 0.007
[1,   700] loss: 0.007
[1,   800] loss: 0.006
[1,   900] loss: 0.006
[1,  1000] loss: 0.006
[1,  1100] loss: 0.006
[1,  1200] loss: 0.006
[1,  1300] loss: 0.006
[1,  1400] loss: 0.006
[1,  1500] loss: 0.007
Training 1 epoch(s) w/ 1500 batches each
[1,   100] loss: 0.006
[1,   200] loss: 0.006
[1,   300] loss: 0.007
[1,   400] loss: 0.006
[1,   500] loss: 0.007
[1,   600] loss: 0.007
[1,   700] loss: 0.006
[1,   800] loss: 0.006
[1,   900] loss: 0.007
[1,  1000] loss: 0.007
[1,  1100] loss: 0.006
[1,  1200] loss: 0.006
[1,  1300] loss: 0.006
[1,  1400] loss: 0.006
[1,  1500] loss: 0.006
DEBUG flwr 2024-01-02 21:46:39,606 | connection.py:141 | gRPC channel closed
INFO flwr 2024-01-02 21:46:39,607 | app.py:304 | Disconnect and shut down

Process finished with exit code 0
